"Index Name","Date","Open","High","Low","Close"
"NIFTY MICROCAP 250","13 Aug 2025","23189.8","23298.75","23125.45","23276.30"
"NIFTY MICROCAP 250","12 Aug 2025","23212.25","23311","23101.6","23120.00"
"NIFTY MICROCAP 250","11 Aug 2025","23093.3","23154.5","22899.15","23119.05"
"NIFTY MICROCAP 250","08 Aug 2025","23332.3","23373.45","23007.6","23072.85"
"NIFTY MICROCAP 250","07 Aug 2025","23212.9","23311.7","22933.35","23270.50"
"NIFTY MICROCAP 250","06 Aug 2025","23612.35","23677.25","23203.85","23343.45"
"NIFTY MICROCAP 250","05 Aug 2025","23719.4","23843.4","23558.25","23598.60"
"NIFTY MICROCAP 250","04 Aug 2025","23604.15","23710.9","23456.2","23684.65"
"NIFTY MICROCAP 250","01 Aug 2025","23943.6","24008.85","23516.15","23555.50"
"NIFTY MICROCAP 250","31 Jul 2025","23762.95","24098.1","23627.35","23936.05"
"NIFTY MICROCAP 250","30 Jul 2025","24092.1","24228.4","24023.95","24108.20"
"NIFTY MICROCAP 250","29 Jul 2025","23657.35","24059.15","23592.7","24033.25"
"NIFTY MICROCAP 250","28 Jul 2025","23924.85","24075","23631.25","23676.20"
"NIFTY MICROCAP 250","25 Jul 2025","24416.5","24420.2","23936.75","23970.90"
"NIFTY MICROCAP 250","24 Jul 2025","24584.55","24622.4","24420.9","24433.90"
"NIFTY MICROCAP 250","23 Jul 2025","24617.65","24636.8","24394.6","24503.05"
"NIFTY MICROCAP 250","22 Jul 2025","24652.35","24745.45","24544.85","24564.30"
"NIFTY MICROCAP 250","21 Jul 2025","24643","24656.45","24436.85","24567.45"
"NIFTY MICROCAP 250","18 Jul 2025","24805.6","24841.45","24494.9","24612.55"
"NIFTY MICROCAP 250","17 Jul 2025","24759.15","24806.6","24693.95","24751.45"
"NIFTY MICROCAP 250","16 Jul 2025","24631.1","24728.4","24586.1","24672.95"
"NIFTY MICROCAP 250","15 Jul 2025","24354.05","24605.05","24350.6","24564.80"
"NIFTY MICROCAP 250","14 Jul 2025","24247.55","24302.3","24047.7","24263.15"
"NIFTY MICROCAP 250","11 Jul 2025","24338.1","24434.7","24173.6","24228.50"
"NIFTY MICROCAP 250","10 Jul 2025","24326.55","24430.95","24235.35","24351.70"
"NIFTY MICROCAP 250","09 Jul 2025","24188.45","24311.7","24152.05","24262.40"
"NIFTY MICROCAP 250","08 Jul 2025","24239","24349.6","23978.05","24143.65"
"NIFTY MICROCAP 250","07 Jul 2025","24318.1","24405.2","24136.2","24174.25"
"NIFTY MICROCAP 250","04 Jul 2025","24226.85","24341.25","24176.3","24288.65"
"NIFTY MICROCAP 250","03 Jul 2025","24218.6","24245.05","24099.05","24188.15"
"NIFTY MICROCAP 250","02 Jul 2025","24324.6","24340.9","24053.75","24175.80"
"NIFTY MICROCAP 250","01 Jul 2025","24320.75","24365.05","24138.75","24214.55"
"NIFTY MICROCAP 250","30 Jun 2025","24082.55","24227.7","24081.05","24199.15"
"NIFTY MICROCAP 250","27 Jun 2025","24000.4","24049.35","23935.1","23989.60"
"NIFTY MICROCAP 250","26 Jun 2025","23976.2","24051.5","23794.75","23867.90"
"NIFTY MICROCAP 250","25 Jun 2025","23527.1","23871.75","23527.05","23859.65"
